Abbre,Full,City,Name
HOU,Houston Rockets,Houston,Rockets
TOR,Toronto Raptors,Toronto,Raptors
GSW,Golden State Warriors,Golden State,Warriors
BOS,Boston Celtics,Boston,Celtics
PHI,Philadelphia 76ers,Philadelphia,76ers
CLE,Cleveland Cavaliers,Cleveland,Cavaliers
POR,Portland Trail Blazers,Portland,Blazers
IND,Indiana Pacers,Indiana,Pacers
NOP,New Orleans Pelicans,New Orleans,Pelicans
OKC,Oklahoma City Thunder,Oklahoma City ,Thunder
UTA,Utah Jazz,Utah,Jazz
MIN,Minnesota Timberwolves,Minnesota,Timberwolves
SAS,San Antonio Spurs,San Antonio,Spurs
DEN,Denver Nuggets,Denver,Nuggets
MIA,Miami Heat,Miami,Heat
MIL,Milwaukee Bucks,Milwaukee,Bucks
WAS,Washington Wizards,Washington,Wizards
LAL,LA Clippers,LA,Clippers
DET,Detroit Pistons,Detroit,Pistons
CHA,Charlotte Hornets,Charlotte,Hornets
LAC,Los Angeles Lakers,Los Angeles,Lakers
NYK,New York Knicks,New York,Knicks
BKN,Brooklyn Nets,Brooklyn,Nets
CHI,Chicago Bulls,Chicago,Bulls
SAC,Sacramento Kings,Sacramento,Kings
ORL,Orlando Magic,Orlando,Magic
ATL,Atlanta Hawks,Atlanta,Hawks
DAL,Dallas Mavericks,Dallas,Mavericks
MEM,Memphis Grizzlies,Memphis,Grizzlies
PHX,Phoenix Suns,Phoenix,Suns
